Entering constructor for: ReviewPal.ReviewPal2013.DrSmellPackage
Entering Initialize() of: ReviewPal.ReviewPal2013.DrSmellPackage
2023-11-15 14:51:19Z : PB = 204308480 : In   : -------------------- StyleCop.StyleCopCore..ctor(environment=<null>, hostTag=<null>)
2023-11-15 14:51:19Z : PB = 204349440 : Out  : -------------------- StyleCop.StyleCopCore..ctor()
2023-11-15 14:51:19Z : PB = 204820480 : Out  : ----------------- StyleCop.StyleCopCore.Initialize()
C:\大學課程\視窗程式設計\hw4\debug.log
2023-11-15 14:51:26Z : PB = 250802176 : In   : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze(full=True, type={Solution}, analysisFileManager=<missing>)
2023-11-15 14:51:26Z : PB = 253005824 : Out  : ---------------------------------- StyleCop.VisualStudio.AnalysisHelper.Analyze()
2023-11-15 14:51:26Z : PB = 253005824 : In   : ----- StyleCop.VisualStudio.AnalysisThread.AnalyzeProc()
2023-11-15 14:51:26Z : PB = 252133376 : In   : ------ StyleCop.StyleCopCore.FullAnalyze(projects=[List<CodeProject>: Count = 1])
2023-11-15 14:51:26Z : PB = 252157952 : In   : ------- StyleCop.StyleCopCore.Analyze(projects=[List<CodeProject>: Count = 1], ignoreCache=True, settingsPath=<null>)
2023-11-15 14:51:26Z : PB = 252665856 : In   : -------- StyleCop.StyleCopCore.RunWorkerThreads(data=[Data], count=1)
2023-11-15 14:51:26Z : PB = 252665856 : In   : --------- StyleCop.StyleCopThread.DoWork(sender=<null>)
2023-11-15 14:51:26Z : PB = 252686336 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
2023-11-15 14:51:26Z : PB = 252702720 : In   : ----------- StyleCop.CSharp.CsParser.ParseFile(sourceCode=[CodeFile], passNumber=0, document=<null>)
2023-11-15 14:51:26Z : PB = 252989440 : Out  : ----------- StyleCop.CSharp.CsParser.ParseFile()=False
2023-11-15 14:51:26Z : PB = 252997632 : In   : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20], passNumber=0)
2023-11-15 14:51:26Z : PB = 253014016 : In   : ------------ StyleCop.StyleCopThread.RunAnalyzers(document=[CsDocument], parser=[CsParser], analyzers=[<get_EnabledAnalyzers>d__20])
2023-11-15 14:51:26Z : PB = 258379776 : Out  : ------------ StyleCop.StyleCopThread.RunAnalyzers()
2023-11-15 14:51:26Z : PB = 258379776 : Out  : ----------- StyleCop.StyleCopThread.TestAndRunAnalyzers()=True
2023-11-15 14:51:26Z : PB = 258400256 : Out  : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument()
2023-11-15 14:51:26Z : PB = 258400256 : In   : ---------- StyleCop.StyleCopThread.ParseAndAnalyzeDocument(sourceCode=[CodeFile], documentStatus=[DocumentAnalysisStatus])
